rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700008574,RAI RESIDENCY Private Limited,0,0,22
P51700007036,UNITY INFRATECH,0,0,6
P51700006657,SCHEMA ENTERPRISES PRIVATE LIMITED,18,0,60
P51700008269,Mahesh Shriram Borkar,0,0,0
P51700001351,RUTU BUILDERS,1,1,0
P51700004997,Shree Khidkaleshwar Property Developers Pvt. Ltd.,0,0,66
P51700004758,M/S.AKSHAR OM CONSTRUCTION,0,0,6
P51700004003,Shree Khidkaleshwar Property Developers Pvt. Ltd.,0,0,61
P51700014904,Dilip  Gangji  Shah,0,0,0
P51700011815,ROYALE URBANSPACE,0,0,0
P51700002510,SEVEN HILL BUILDCON,2,0,0
P51700001234,MEHTA REALTORS,0,0,9
P51700003464,Today Royal Infra,0,0,0
P51700010128,DIWALI CONSTRUCTION COMPANY,0,0,18
P51700008369,M/s. Jigar Enterprise,0,0,21
P51700011791,ROYALE URBANSPACE,0,0,12
P51700002100,TULIP REALTY,0,0,0
P51700003889,AKSHAR SPACE PVT LTD,100,1,48
P51700001622,DEEPAK RAJENDRA JAIN,7,0,21
P51700007373,Home Makers,0,0,3
P51700004303,Gajra Home Makers Pvt. Ltd.,0,0,18
P51700005805,VIJAY SURAKSHA REALTY LLP,0,0,26
P51700008664,IMPRESSIONS,0,0,36
P51700003547,I G BUILDERS,0,0,60
P51700003573,GAYATRI BUILDERS,0,0,3
P51700001871,Ishaan Enterprise,0,0,19
P51700007216,sarvodayrajconstructioncompany,0,0,45
P51700007229,GAYATRI BUILDERS,0,0,33
P51700010356,M/S SIXTH SENSE DEVELOPERS,0,0,27
P51700006838,VIJAY SURAKSHA REALTY LLP,2,7,58
P51700005745,HARAKCHAND NENMAL JAIN,1,1,36
P51700002359,KIMAYA CONSTRUCTION,0,0,0
P51700005583,Nirmal Lifestyle (Kalyan) Private Limited,46,1,97
P51700003540,Nirmal Lifestyle (Kalyan) Private Limited,28,1,103
P51700006766,Nirmal Lifestyle (Kalyan) Private Limited,47,1,97
P51700003948,MOHAN LIFESPACES LLP,0,0,36
P51700003542,Nirmal Lifestyle (Kalyan) Private Limited,16,1,75
P51700006378,Nirmal Lifestyle (Kalyan) Private Limited,17,1,75
P51700002924,Nirmal Lifestyle (Kalyan) Private Limited,26,2,78
P51700003554,Nirmal Lifestyle (Kalyan) Private Limited,25,2,72
P51700006746,Nirmal Lifestyle (Kalyan) Private Limited,13,1,72
P51700006379,Nirmal Lifestyle (Kalyan) Private Limited,14,1,76
P51700003545,Nirmal Lifestyle (Kalyan) Private Limited,22,1,76
P51700003628,Nirmal Lifestyle (Kalyan) Private Limited,13,1,78
P51700005451,Nirmal Lifestyle (Kalyan) Private Limited,28,3,82
P51700003541,Nirmal Lifestyle (Kalyan) Private Limited,28,0,83
P51700002670,Charms Developers,0,2,30
P51700002092,Nirman Construction,0,0,6
P51700001106,Spendor Shelters Private Limited,0,0,0
P51700006149,Macrotech Developers Limited,0,0,0
P51700003805,CONCEPT REALTY,0,0,36
P51700004667,Macrotech Developers Limited,0,1,0
P51700008733,SAB VENTURES,0,0,18
P51700007077,VIHANG INFRASTRUCTURE PVT LTD,52,10,84
P51700007568,PRESTIGE DEVELOPERS,0,0,12
P51700005683,BRIGHT SKY HEIGHTS BUILDERS AND DEVELOPERS PRIVATE LIMITED,2,1,12
P51800013187,HINDUSTAN CONSTRUCTION CORPORATION,1,0,89
